,Unnamed: 0,X,GrammyAward,GrammyYear,Genre,Name,Artist,Artists,number_artists
96,134,133,Song Of The Year,2012,General,we are young,Fun Featuring Janelle Monáe,fun.,1
97,137,136,Best Dance Recording,2012,Dance/Electronic Music,bangarang,skrillex featuring Sirah,Skrillex,1
98,138,137,Best Rock Performance,2012,Rock,lonely boy,The Black Keys,The Black Keys,1
99,139,138,Best Rock Song,2012,Rock,lonely boy,The Black Keys,The Black Keys,1
100,140,139,Best R&B Performance,2012,R&B,climax,Usher,Usher,1
101,141,140,Best Traditional R&B Performance,2012,R&B,love on top,beyoncé,Beyonce,1
102,142,141,Best R&B Song,2012,R&B,adorn,Miguel,Miguel,1
103,145,144,Best Country Solo Performance,2012,Country,blown away,Carrie Underwood,Carrie Underwood,1
104,147,146,Best Country Song,2012,Country,blown away,Carrie Underwood,Carrie Underwood,1
105,146,145,Best Country Duo/Group Performance,2012,Country,pontoon,Little Big Town,Little Big Town,1
106,150,149,Record Of The Year,2011,General,rolling in the deep,Adele,Adele,1
107,150,149,Record Of The Year,2011,General,rolling in the deep,Adele,Glee Cast,1
108,151,150,Song Of The Year,2011,General,rolling in the deep,Adele,Adele,1
109,151,150,Song Of The Year,2011,General,rolling in the deep,Adele,Glee Cast,1
110,152,151,Best Pop Solo Performance,2011,Pop,someone like you,Adele,Adele,1
111,154,153,Best Dance Recording,2011,Dance/Electronic Music,scary monsters and nice sprites,Skrillex,Skrillex,1
112,155,154,Best Rock Performance,2011,Rock,walk,Foo Fighters,Foo Fighters,1
113,156,155,Best Rock Song,2011,Rock,walk,Foo Fighters,Foo Fighters,1
114,160,159,Best Rap Performance,2011,Rap,otis,Jay-z & Kanye West,Jay Z Kanye West,1
115,161,160,Best Rap Song,2011,Rap,all of the lights,"Kanye West, Rihanna, Kid Cudi & Fergie",Kanye West,1
116,162,161,Best Country Solo Performance,2011,Country,mean,Taylor Swift,Taylor Swift,1
117,164,163,Best Country Song,2011,Country,mean,Taylor Swift,Taylor Swift,1
118,167,166,Record Of The Year,2010,General,need you now,Lady Antebellum,Glee Cast,1
119,167,166,Record Of The Year,2010,General,need you now,Lady Antebellum,Lady Antebellum,1
120,168,167,Song Of The Year,2010,General,need you now,Lady Antebellum,Glee Cast,1
121,168,167,Song Of The Year,2010,General,need you now,Lady Antebellum,Lady Antebellum,1
122,187,186,Best Country Song,2010,Country,need you now,Lady Antebellum,Glee Cast,1
123,187,186,Best Country Song,2010,Country,need you now,Lady Antebellum,Lady Antebellum,1
124,169,168,Best Female Pop Vocal Performance,2010,Pop,bad romance,Lady Gaga,Glee Cast,1
